host,model,backend,device,cpu_watts_mean,cpu_watts_std,cpu_util_percent_mean,cpu_util_percent_std,cpu_temp_c_mean,cpu_temp_c_std,duration_sec,num_samples
edge-asus,deeplabv3_mobilenet_v3_large_sol,stock,cpu,71.383333,26.392453,35.720000,14.167766,70.800000,8.908423,14.003,15
edge-asus,deeplabv3_mobilenet_v3_large,stock,cpu,76.415500,22.733172,37.750000,12.003770,71.150000,7.617578,19.004,20
edge-asus,deeplabv3_resnet101_sol,stock,cpu,100.062110,12.508360,41.326606,4.318313,83.807339,5.390234,108.024,109
edge-asus,deeplabv3_resnet101,stock,cpu,102.260000,10.068984,41.533333,3.661673,85.792593,4.594838,134.031,135
edge-asus,deeplabv3_resnet50_sol,stock,cpu,103.780667,14.208077,40.869333,5.861603,84.453333,6.786837,74.018,75
edge-asus,deeplabv3_resnet50,stock,cpu,101.448163,12.553600,41.065306,5.289383,81.010204,7.743984,97.021,98
edge-asus,fcn_resnet101_sol,stock,cpu,99.575833,10.877127,40.870000,3.893169,84.133333,5.360245,119.026,120
edge-asus,fcn_resnet101,stock,cpu,99.148167,11.241333,41.039167,4.321753,83.775000,5.244779,119.020,120
edge-asus,fcn_resnet50_sol,stock,cpu,98.974157,11.075588,39.719101,4.650646,83.101124,5.947419,88.019,89
edge-asus,fcn_resnet50,stock,cpu,99.261294,12.604475,40.631765,5.321902,83.458824,6.028468,84.019,85
edge-asus,mc3_18_sol,stock,cpu,73.033571,14.676576,33.535714,7.056872,75.964286,6.614282,27.004,28
edge-asus,mc3_18,stock,cpu,70.705862,16.285311,33.186207,7.961317,74.827586,6.923568,28.005,29
edge-asus,mobilenet_v3_large_sol,stock,cpu,64.041429,29.291262,31.714286,15.722089,67.571429,10.952588,6.000,7
edge-asus,mobilenet_v3_large,stock,cpu,62.102222,26.321130,33.400000,15.374149,74.333333,13.299958,8.002,9
edge-asus,r2plus1d_18_sol,stock,cpu,72.808000,14.976968,34.266667,7.332864,76.933333,7.685195,29.004,30
edge-asus,r2plus1d_18,stock,cpu,71.091000,16.142006,33.920000,8.069878,74.833333,6.894845,29.005,30
edge-asus,r3d_18_sol,stock,cpu,71.304643,17.054339,33.178571,8.354697,74.964286,6.455796,27.004,28
edge-asus,r3d_18,stock,cpu,70.162143,18.072409,32.792857,9.069766,74.821429,6.135689,27.004,28
edge-asus,resnet50_sol,stock,cpu,96.572632,23.725627,38.594737,10.009810,79.105263,9.497339,18.003,19
edge-asus,resnet50,stock,cpu,97.323000,22.423988,38.975000,9.429999,80.900000,10.797685,19.004,20
edge-asus,swin3d_b_sol,stock,cpu,74.478750,15.016251,34.250000,7.175044,76.125000,7.313301,31.005,32
edge-asus,swin3d_b,stock,cpu,75.768611,14.064610,35.416667,6.917108,76.305556,5.815780,35.006,36
edge-asus,swin3d_s_sol,stock,cpu,71.839643,14.330272,33.914286,7.023619,76.107143,7.077829,27.004,28
edge-asus,swin3d_s,stock,cpu,70.045862,16.632225,33.279310,8.400754,75.482759,7.005518,28.003,29
edge-asus,swin3d_t_sol,stock,cpu,66.738077,18.966536,32.311538,9.555479,75.038462,7.738419,25.004,26
edge-asus,swin3d_t,stock,cpu,68.109615,14.632530,33.715385,7.382448,74.000000,6.827546,25.005,26
edge-asus,swin_s_sol,stock,cpu,102.370526,22.476250,39.668421,9.162369,83.684211,7.759901,37.009,38
edge-asus,swin_s,stock,cpu,103.233125,14.693688,40.877083,6.104549,85.312500,7.340403,47.010,48
edge-asus,swin_t_sol,stock,cpu,98.818636,21.115138,39.540909,8.911926,81.636364,9.073165,21.006,22
edge-asus,swin_t,stock,cpu,96.264074,23.792910,38.966667,10.078470,82.185185,9.261777,26.005,27
edge-asus,swin_v2_b_sol,stock,cpu,102.822254,15.219416,41.000000,5.468939,84.436620,6.425592,70.018,71
edge-asus,swin_v2_b,stock,cpu,101.970930,11.146581,41.289535,4.635757,83.709302,5.321886,85.017,86
edge-xtreme,deeplabv3_mobilenet_v3_large_sol,stock,cpu,0.000000,0.000000,27.333333,4.762077,57.780303,0.106735,32.004,33
edge-xtreme,deeplabv3_mobilenet_v3_large,stock,cpu,0.000000,0.000000,27.957143,5.474058,65.521684,0.742689,48.005,49
edge-xtreme,deeplabv3_resnet101_sol,stock,cpu,0.000000,0.000000,30.950752,2.150856,68.484258,0.939004,265.031,266
edge-xtreme,deeplabv3_resnet101,stock,cpu,0.000000,0.000000,31.264194,2.014794,68.582863,1.846497,309.034,310
edge-xtreme,deeplabv3_resnet50_sol,stock,cpu,0.000000,0.000000,30.029444,2.482801,63.212500,1.730830,179.022,180
