host,model,backend,device,net_rx_mbps_mean,net_rx_mbps_std,net_tx_mbps_mean,net_tx_mbps_std,duration_sec,num_samples
robot,deeplabv3_resnet101,ptc,cpu,0.000011,0.000057,0.000010,0.000056,61.005,62
robot,deeplabv3_resnet101,sol,cpu,0.000044,0.000136,0.000303,0.001940,61.008,62
robot,deeplabv3_resnet50,ptc,cpu,0.000010,0.000056,0.000010,0.000056,61.005,62
robot,deeplabv3_resnet50,sol,cpu,0.000108,0.000584,0.000405,0.002230,61.006,62
robot,fcn_resnet101,ptc,cpu,0.000102,0.000437,0.000332,0.001553,62.008,63
robot,fcn_resnet101,sol,cpu,0.000102,0.000423,0.000329,0.001809,62.006,63
robot,fcn_resnet50,ptc,cpu,0.000098,0.000575,0.000221,0.001059,61.006,62
robot,fcn_resnet50,sol,cpu,0.000000,0.000000,0.000000,0.000000,61.006,62
robot,mc3_18,ptc,cpu,0.000040,0.000134,0.000087,0.000190,61.008,62
robot,mc3_18,sol,cpu,0.000002,0.000012,0.000000,0.000000,62.008,63
robot,r2plus1d_18,ptc,cpu,0.000011,0.000076,0.000005,0.000028,61.009,62
robot,r2plus1d_18,sol,cpu,0.000010,0.000075,0.000008,0.000062,62.007,63
robot,r3d_18,ptc,cpu,0.000115,0.000596,0.000331,0.001663,61.005,62
robot,r3d_18,sol,cpu,0.000000,0.000000,0.000000,0.000000,61.006,62
robot,resnet50,ptc,cpu,0.000134,0.000246,0.000408,0.000787,61.008,62
robot,resnet50,sol,cpu,0.000216,0.000292,0.000824,0.001127,61.006,62
robot,swin3d_b,ptc,cpu,0.000000,0.000000,0.000000,0.000000,62.005,63
robot,swin3d_b,sol,cpu,0.000000,0.000000,0.000000,0.000000,62.006,63
robot,swin3d_s,ptc,cpu,0.000108,0.000567,0.000111,0.000658,62.010,63
robot,swin3d_s,sol,cpu,0.000097,0.000422,0.000263,0.001204,61.012,62
robot,swin3d_t,ptc,cpu,0.000000,0.000000,0.000000,0.000000,61.019,62
