container,host,device,model,backend,cpu_percent_mean,cpu_percent_std,mem_mb_mean,mem_mb_std,blk_read_mb_mean,blk_read_mb_std,blk_write_mb_mean,blk_write_mb_std,net_rx_mbps,net_tx_mbps,duration_sec
torchvision-app,edge-asus,cpu,deeplabv3_mobilenet_v3_large_sol,stock,850.633333,338.977800,740.740000,5.113598,484.395000,0.000000,1.359000,0.000000,0.000000,0.000570,14.031
torchvision-app,edge-asus,gpu,deeplabv3_mobilenet_v3_large_sol,stock,1874.175333,518.858057,750.517333,2.938078,63.703000,0.000000,47.881667,2.093997,0.000000,0.000000,15.030
torchvision-app,edge-asus,cpu,deeplabv3_mobilenet_v3_large,stock,899.976500,292.371943,790.310500,2.087720,482.426000,0.000000,1.274450,0.019397,0.000000,0.000000,19.038
torchvision-app,edge-asus,gpu,deeplabv3_mobilenet_v3_large,stock,2004.157143,627.029408,981.321429,0.213269,62.992000,0.000000,42.453000,0.000000,0.000000,0.000000,13.026
torchvision-app,edge-asus,cpu,deeplabv3_resnet101_sol,stock,986.485046,112.447926,777.395046,4.797873,482.410000,0.000000,1.059028,0.034100,0.000074,0.000074,108.247
torchvision-app,edge-asus,gpu,deeplabv3_resnet101_sol,stock,995.856389,224.267162,712.758889,3.341474,52.383000,0.000000,42.228500,0.044500,0.000228,0.000000,35.075
torchvision-app,edge-asus,cpu,deeplabv3_resnet101,stock,991.356148,90.995638,1066.517333,0.395823,482.410000,0.000000,0.974185,0.006424,0.000060,0.000060,134.336
torchvision-app,edge-asus,gpu,deeplabv3_resnet101,stock,1175.953000,233.393890,835.392333,1.431108,52.383000,0.000000,42.177600,0.005987,0.000275,0.000275,29.072
torchvision-app,edge-asus,cpu,deeplabv3_resnet50_sol,stock,974.910133,151.246560,358.445200,17.211637,79.071440,0.038697,0.089840,0.040071,0.000000,0.000000,74.175
torchvision-app,edge-asus,gpu,deeplabv3_resnet50_sol,stock,1283.809286,270.150880,678.245357,2.308655,34.086000,0.000000,16.700143,0.043124,0.000000,0.000000,27.058
torchvision-app,edge-asus,cpu,deeplabv3_resnet50,stock,979.876633,139.605366,535.327857,2.752887,78.105888,0.038189,0.005469,0.003720,0.000000,0.000000,97.227
torchvision-app,edge-asus,gpu,deeplabv3_resnet50,stock,1362.003200,406.647215,793.724400,1.588265,34.062000,0.000000,0.000000,0.000000,0.000000,0.000000,24.059
torchvision-app,edge-asus,cpu,fcn_resnet101_sol,stock,975.431750,99.772869,780.199250,28.922608,482.426000,0.000000,1.255933,0.033025,0.000000,0.000000,119.276
torchvision-app,edge-asus,gpu,fcn_resnet101_sol,stock,1067.885455,218.295917,578.233636,3.077544,52.383000,0.000000,42.409364,0.044979,0.000000,0.000000,32.066
torchvision-app,edge-asus,cpu,fcn_resnet101,stock,979.850583,116.614693,1033.345583,0.397599,482.410000,0.000000,1.158683,0.032120,0.000067,0.000000,119.282
torchvision-app,edge-asus,gpu,fcn_resnet101,stock,1258.625926,294.865495,817.843704,3.490077,52.383000,0.000000,42.309667,0.044222,0.000000,0.000000,26.050
torchvision-app,edge-asus,cpu,fcn_resnet50_sol,stock,947.700337,119.121988,367.225618,41.958687,80.133000,0.000000,0.289382,0.038168,0.000000,0.000091,88.201
torchvision-app,edge-asus,gpu,fcn_resnet50_sol,stock,1400.291538,335.742861,529.838846,4.382278,34.086000,0.000000,19.679154,0.042817,0.000000,0.000319,25.051
torchvision-app,edge-asus,cpu,fcn_resnet50,stock,969.971647,138.003905,509.545059,16.298366,80.098000,0.000000,0.190459,0.038812,0.000000,0.000095,84.188
torchvision-app,edge-asus,gpu,fcn_resnet50,stock,1507.466818,452.901838,727.065909,3.228591,34.086000,0.000000,19.579227,0.037297,0.000000,0.000380,21.046
